X;Y;ELEVA;PRECIPITA
-18,08;27,77;0,00;1949,02
-18,07;27,68;0,00;1960,78
-17,98;27,78;1156,21;800,00
-17,97;27,69;557,18;435,29
-17,89;27,79;0,00;2000,00
-17,94;28,84;0,00;713,73
-17,92;28,76;1508,26;2227,45
-17,91;28,67;405,62;313,73
-17,90;28,58;223,10;537,25
-17,83;28,77;1348,26;2207,84
-17,81;28,68;1089,29;1678,43
-17,80;28,59;964,66;2231,37
-17,79;28,51;0,00;2000,00
-17,73;28,78;0,00;1968,63
-17,33;28,11;589,87;623,53
-17,32;28,03;0,00;1921,57
-17,25;28,21;0,00;1984,31
-17,23;28,12;1135,53;1749,02
-17,22;28,04;366,74;623,53
-17,13;28,13;567,12;462,75
-17,12;28,05;0,00;2000,00
-16,86;28,34;778,87;505,88
-16,76;28,35;743,02;635,29
-16,75;28,26;1533,87;619,61
-16,74;28,18;911,71;423,53
-16,73;28,09;61,08;705,88
-16,72;28,00;0,00;1976,47
-16,66;28,36;663,52;611,76
-16,65;28,27;3295,22;584,31
-16,64;28,19;1982,25;666,67
-16,63;28,10;640,65;654,90
-16,62;28,01;0,00;1992,16
-16,56;28,37;539,82;674,51
-16,55;28,28;2202,89;580,39
-16,54;28,20;1213,38;600,00
-16,53;28,11;246,91;721,57
-16,48;28,47;0,00;2023,53
-16,47;28,38;1624,37;1443,14
-16,45;28,29;1505,97;498,04
-16,44;28,21;169,22;674,51
-16,43;28,12;0,00;2000,00
-16,39;28,57;0,00;2000,00
-16,38;28,48;670,49;847,06
-16,37;28,39;339,07;674,51
-16,29;28,58;0,00;1941,18
-16,28;28,49;401,85;372,55
-16,19;28,59;0,00;1992,16
-16,18;28,50;0,00;2070,59
-15,82;28,00;10,65;678,43
-15,80;27,91;388,99;600,00
-15,79;27,82;0,00;2043,14
-15,73;28,10;0,00;2000,00
-15,72;28,01;1018,28;454,90
-15,71;27,92;863,42;450,98
-15,69;27,83;490,94;756,86
-15,68;27,74;0,00;1913,73
-15,63;28,11;613,30;690,20
-15,62;28,02;1703,08;764,71
-15,61;27,93;1110,61;674,51
-15,60;27,84;347,28;678,43
-15,59;27,75;18,34;1325,49
-15,53;28,12;234,33;635,29
-15,52;28,03;582,77;674,51
-15,51;27,94;908,21;780,39
-15,50;27,85;281,59;674,51
-15,43;28,12;5,01;1941,18
-15,42;28,04;59,84;796,08
-15,41;27,95;97,44;674,51
-15,40;27,86;16,42;603,92
-14,32;28,13;159,10;1980,39
-14,31;28,04;0,00;2000,00
-14,23;28,23;0,00;1956,86
-14,22;28,14;0,00;2015,69
-14,15;28,42;77,54;2082,35
-14,14;28,33;194,87;682,35
-14,13;28,24;116,57;709,80
-14,07;28,60;0,00;1956,86
-14,06;28,51;283,01;690,20
-14,05;28,42;457,03;615,69
-14,04;28,33;192,15;682,35
-14,03;28,25;37,67;1443,14
-13,98;28,70;43,67;1219,61
-13,97;28,61;146,10;682,35
-13,96;28,52;336,30;682,35
-13,95;28,43;204,04;682,35
-13,94;28,34;122,27;662,75
